BC_ID,BC_MaxPressure,Brake_energy_cyl,Brake_energy_pipe,Brake_power_cyl,Brake_power_delay,Brake_power_pipe,Brake_timing_cyl,Brake_timing_pipe,Buildup_end_pressure_delay,Buildup_energy_cyl,Buildup_energy_pipe,Buildup_gradient_cyl,Buildup_gradient_pipe,Buildup_power_cyl,Buildup_power_pipe,Buildup_timing_cyl,Buildup_timing_pipe,DS_Error,End_brake_speed,End_brake_time_cyl,End_brake_time_pipe,End_buildup_time_pipe,End_release_time_pipe,Energy_ratio,First_phase_energy,First_phase_energy_1hz,First_phase_error,First_phase_first_gradient,First_phase_first_gradient_1hz,First_phase_half_time_ratio,First_phase_half_time_ratio_1hz,First_phase_inflection_point,First_phase_inflection_point_1hz,First_phase_max_gradient,First_phase_max_gradient_1hz,First_phase_mean_curvature,First_phase_mean_curvature_1hz,First_phase_power,First_phase_power_1hz,First_phase_timing,First_phase_timing_1hz,First_phase_timing_half,First_phase_timing_half_1hz,GPS_Lat_last,GPS_Long_last,GPS_NumSamples,GPS_Speed_mean,GPS_Speed_RPM_mean,Holding_energy_cyl,Holding_energy_pipe,Holding_power_cyl,Holding_power_pipe,Holding_timing_cyl,Holding_timing_pipe,MBP_ID,Max_pressure_cyl,Max_pressure_pipe,Mean_delay_exp,Mean_pipe,Power_ratio,Release_energy_cyl,Release_energy_pipe,Release_gradient_cyl,Release_gradient_pipe,Release_power_cyl,Release_power_delay,Release_power_pipe,Release_start_pressure_delay,Release_timing_cyl,Release_timing_pipe,Speed_difference,Speed_gradient,Start_brake_speed,Start_brake_time_cyl,Start_brake_time_pipe,Start_buildup_time_pipe,Start_release_time_pipe,Std_delay_exp,Std_pipe,Total_energy_efficiency,Total_energy_delay,Total_power_cyl,Total_power_delay,Total_power_efficiency,Total_power_normalized,Total_power_pipe,Total_power_weighted,WV_ID,WV_MeanPressure,BC_AlreadyEngagedStart,BC_BadStart,BC_FlatStartNearZero,BC_LowBraking,BC_NormalBraking,BC_PhaseClassification_error,BC_ReleasingAtStart,BC_SensorError,BC_StartAboveThresh,BC_braketiming_error,Consecutive_braking_pipe,EmergencyBrake,EmergencyBrake_action,GPS_SensorError,Gateway_CB_Error,Gateway_VB_Error,MBP_PhaseClassification_error,MBP_Sensor_error,MBP_braketiming_error,Non_Standard_Braking,SV_Error,UB_Error,UR_Error,WV_SensorError,LeakageLabel
0xa5,,,4.76030400482513,,,0.34308497332073,,13.875,,,2.09889387732092,,0.0514318435493795,,0.274365212721688,,7.65,,0.0,NaT,05-Oct-2025 00:59:02,05-Oct-2025 00:58:56,05-Oct-2025 00:59:03,,,,,,,,,,,,,,,,,,,,,,,0,,,,2.66141012750421,,0.427535763454492,,6.225,0xc4,,0.446356193377192,,0.332586301729984,,,0.242267145545087,,-0.317215335908418,,,0.215348573817855,,,1.125,0.0,0.0,0.0,NaT,05-Oct-2025 00:58:48,05-Oct-2025 00:58:48,05-Oct-2025 00:59:02,,0.111283747938765,,,,,,,0.333504743358015,,0xde,,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Healthy
0xd2,,,4.76030400482513,,,0.34308497332073,,13.875,,,2.09889387732092,,0.0514318435493795,,0.274365212721688,,7.65,,0.0,NaT,05-Oct-2025 00:59:02,05-Oct-2025 00:58:56,05-Oct-2025 00:59:03,,,,,,,,,,,,,,,,,,,,,,,0,,,,2.66141012750421,,0.427535763454492,,6.225,0xc4,,0.446356193377192,,0.332586301729984,,,0.242267145545087,,-0.317215335908418,,,0.215348573817855,,,1.125,0.0,0.0,0.0,NaT,05-Oct-2025 00:58:48,05-Oct-2025 00:58:48,05-Oct-2025 00:59:02,,0.111283747938765,,,,,,,0.333504743358015,,0x31,2.3,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Healthy
0xa,-0.0309499243464647,,4.76030400482513,,,0.34308497332073,,13.875,,,2.09889387732092,,0.0514318435493795,,0.274365212721688,,7.65,0.0,0.0,NaT,05-Oct-2025 00:59:02,05-Oct-2025 00:58:56,05-Oct-2025 00:59:03,,,,0.0,,,,,,,,,,,,,,,,,,,0,,,,2.66141012750421,,0.427535763454492,,6.225,0xc4,-0.0309499243464647,0.446356193377192,-0.365080039353085,0.332586301729984,,,0.242267145545087,,-0.317215335908418,,,0.215348573817855,,,1.125,0.0,0.0,0.0,NaT,05-Oct-2025 00:58:48,05-Oct-2025 00:58:48,05-Oct-2025 00:59:02,-0.110606003231001,0.111283747938765,,,,,,,0.333504743358015,,0x79,2.3,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Healthy
0x9f,,,4.76030400482513,,,0.34308497332073,,13.875,,,2.09889387732092,,0.0514318435493795,,0.274365212721688,,7.65,,0.0,NaT,05-Oct-2025 00:59:02,05-Oct-2025 00:58:56,05-Oct-2025 00:59:03,,,,,,,,,,,,,,,,,,,,,,,0,,,,2.66141012750421,,0.427535763454492,,6.225,0xc4,,0.446356193377192,,0.332586301729984,,,0.242267145545087,,-0.317215335908418,,,0.215348573817855,,,1.125,0.0,0.0,0.0,NaT,05-Oct-2025 00:58:48,05-Oct-2025 00:58:48,05-Oct-2025 00:59:02,,0.111283747938765,,,,,,,0.333504743358015,,0x79,2.3,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Healthy
0xa5,1.09989644822509,8.4940034833993,4.16124208709495,0.530047019244886,0.250299652045226,0.27974736719966,16.025,14.875,0.652875622534083,0.250314365003688,3.09249218769596,1.70334720998323,0.0277918775853223,0.435329330441197,0.258785957129369,0.575,11.95,0.0,45.835147857666,05-Oct-2025 02:14:12,05-Oct-2025 02:14:10,05-Oct-2025 02:14:07,05-Oct-2025 02:14:11,2.39870875615879,0.0101086654545454,0.0510707685965795,1.0,,0.763082979354563,0.0,0.666666666666667,,,1.853376,2.17970324290146,0.0,1.25556981778812,0.404346618181815,0.170235895321932,0.025 sec,0.3,0.0,0.2,43.79292449149039,16.820764297746614,4,45.7573642730713,50.5333974789348,8.24368911839561,1.06874989939899,0.533572111223017,0.365384580991106,15.45,2.925,0xc4,1.09989644822509,0.375421870635029,0.222607995948794,0.274752139912711,1.88750852943642,1.81429609495754,0.136194836787465,-0.0459818411738394,-0.392436104493637,0.477446340778299,0.289591393485244,0.187854947293055,0.238455951565568,3.8,0.725,0.133342742919922,0.0078436907599954,45.7018051147461,05-Oct-2025 02:13:56,05-Oct-2025 02:13:55,05-Oct-2025 02:13:55,05-Oct-2025 02:14:10,0.0700046101119581,0.0828084791028208,15.3625463124648,6.01086265447442,0.519964669778403,0.53989104553047,4.43630377296902,12.9973108782462,0.275476725889898,5.41554619926924,0xde,2.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Healthy
0xd2,0.568307442130392,,4.16124208709495,,,0.27974736719966,,14.875,,,3.09249218769596,,0.0277918775853223,,0.258785957129369,,11.95,0.0,45.835147857666,NaT,05-Oct-2025 02:14:10,05-Oct-2025 02:14:07,05-Oct-2025 02:14:11,,,,0.0,,,,,,,,,,,,,,,,,43.79292449149039,16.820764297746614,4,45.7573642730713,50.5333974789348,,1.06874989939899,,0.365384580991106,,2.925,0xc4,0.568307442130392,0.375421870635029,0.0974652405201427,0.274752139912711,,,0.136194836787465,,-0.392436104493637,,,0.187854947293055,,,0.725,0.133342742919922,0.0078436907599954,45.7018051147461,NaT,05-Oct-2025 02:13:55,05-Oct-2025 02:13:55,05-Oct-2025 02:14:10,0.147092316153071,0.0828084791028208,,,,,,,0.275476725889898,,0x31,2.2,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Healthy
0xa,-0.025616642684281,,4.16124208709495,,,0.27974736719966,,14.875,,,3.09249218769596,,0.0277918775853223,,0.258785957129369,,11.95,0.0,45.835147857666,NaT,05-Oct-2025 02:14:10,05-Oct-2025 02:14:07,05-Oct-2025 02:14:11,,,,0.0,,,,,,,,,,,,,,,,,43.79292449149039,16.820764297746614,4,45.7573642730713,50.5333974789348,,1.06874989939899,,0.365384580991106,,2.925,0xc4,-0.025616642684281,0.375421870635029,-0.305311836426917,0.274752139912711,,,0.136194836787465,,-0.392436104493637,,,0.187854947293055,,,0.725,0.133342742919922,0.0078436907599954,45.7018051147461,NaT,05-Oct-2025 02:13:55,05-Oct-2025 02:13:55,05-Oct-2025 02:14:10,-0.0817740848027118,0.0828084791028208,,,,,,,0.275476725889898,,0x79,,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Healthy
0x9f,0.862474140887494,0.592631655669654,4.16124208709495,0.607827339148363,0.328079971948703,0.27974736719966,0.975,14.875,0.455915825239137,0.202643477622348,3.09249218769596,1.49451522108413,0.0277918775853223,0.405286955244697,0.258785957129369,0.5,11.95,0.0,45.835147857666,05-Oct-2025 02:13:56,05-Oct-2025 02:14:10,05-Oct-2025 02:14:07,05-Oct-2025 02:14:11,2.41265282035305,,0.0604973775610067,1.0,,0.966885141907684,,0.545454545454545,,,,1.77199111460686,,0.735898480121985,,0.219990463858206,,0.275,,0.15,43.79292449149039,16.820764297746614,4,45.7573642730713,50.5333974789348,0.389988178047306,1.06874989939899,0.821027743257486,0.365384580991106,0.475,2.925,0xc4,0.862474140887494,0.375421870635029,0.245140185601363,0.274752139912711,1.8984809078188,9.77559165902459,0.136194836787465,-0.0176673071061762,-0.392436104493637,0.518599027003957,0.330744079710902,0.187854947293055,0.397257956163605,18.85,0.725,0.133342742919922,0.0078436907599954,45.7018051147461,05-Oct-2025 02:13:55,05-Oct-2025 02:13:55,05-Oct-2025 02:13:55,05-Oct-2025 02:14:10,0.0013727080143856,0.0828084791028208,71.9189387167009,6.07078639081183,0.522987304650403,0.658824051659605,4.9334077813561,11.33374736713,0.275476725889898,,0x79,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Healthy
0xa5,,,2.63087283105842,,,0.415357251509065,,6.334,,,0.124431484121104,,0.671453866882638,,0.226239062038371,,0.55,,0.0,NaT,05-Oct-2025 05:31:37,05-Oct-2025 05:31:31,NaT,,,,,,,,,,,,,,,,,,,,,,,0,,,,2.50644134693732,,0.433340481835635,,5.784,0xc4,,0.436293962389822,,0.413102030717518,,,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,NaT,05-Oct-2025 05:31:31,05-Oct-2025 05:31:31,NaT,,0.0742410059155769,,,,,,,0.415357251509065,,0xde,,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,Healthy
0xd2,,,2.63087283105842,,,0.415357251509065,,6.334,,,0.124431484121104,,0.671453866882638,,0.226239062038371,,0.55,,0.0,NaT,05-Oct-2025 05:31:37,05-Oct-2025 05:31:31,NaT,,,,,,,,,,,,,,,,,,,,,,,0,,,,2.50644134693732,,0.433340481835635,,5.784,0xc4,,0.436293962389822,,0.413102030717518,,,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,NaT,05-Oct-2025 05:31:31,05-Oct-2025 05:31:31,NaT,,0.0742410059155769,,,,,,,0.415357251509065,,0x31,,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,Healthy
